threat_true,threat_pred,severity_true,severity_pred,count
BRUTE FORCE,XSS,MEDIUM,MEDIUM,17
OTHER,VULNERABILITY,LOW,LOW,16
XSS,XSS,LOW,MEDIUM,13
BRUTE FORCE,XSS,LOW,LOW,10
XSS,BRUTE FORCE,LOW,LOW,9
XSS,XSS,HIGH,CRITICAL,4
BRUTE FORCE,BRUTE FORCE,LOW,MEDIUM,2
OTHER,SCANNER,MEDIUM,MEDIUM,2
XSS,XSS,MEDIUM,MEDIUM,2
BRUTE FORCE,XSS,LOW,MEDIUM,1
BRUTE FORCE,BRUTE FORCE,MEDIUM,MEDIUM,1
BRUTE FORCE,BRUTE FORCE,HIGH,CRITICAL,1
BRUTE FORCE,SQL INJECTION,CRITICAL,CRITICAL,1
BRUTE FORCE,PATH TRAVERSAL,MEDIUM,LOW,1
OTHER,MALWARE,HIGH,HIGH,1
OTHER,XSS,MEDIUM,MEDIUM,1
OTHER,XSS,CRITICAL,CRITICAL,1
OTHER,OTHER,MEDIUM,LOW,1
OTHER,OTHER,MEDIUM,MEDIUM,1
XSS,BRUTE FORCE,CRITICAL,HIGH,1
PRIVILEGE ESCALATION,PRIVILEGE ESCALATION,MEDIUM,LOW,1
PRIVILEGE ESCALATION,BENIGN,LOW,LOW,1
XSS,BRUTE FORCE,MEDIUM,MEDIUM,1
